"Arquivo","Namespace","Classe","Interface","Trait","Enum","Linhas","TamanhoKB"
"C:\zabbix\glpi\plugins\solpi\src\Core\Uuid.php","namespace SOLPI\Core;","final class Uuid",,,,"25","0,36"
"C:\zabbix\glpi\plugins\solpi\src\Core\Validator.php","namespace SOLPI\Core;","final class Validator",,,,"68","0,86"
"C:\zabbix\glpi\plugins\solpi\src\Core\Version.php","namespace SOLPI\Core;","final class Version",,,,"22","0,32"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\Connection.php","namespace SOLPI\Core\Database;","final class Connection",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\Criteria.php","namespace SOLPI\Core\Database;","final class Criteria",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\DatabaseManager.php","namespace SOLPI\Core\Database;","final class DatabaseManager",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\Pagination.php","namespace SOLPI\Core\Database;","final class Pagination",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\QueryBuilder.php","namespace SOLPI\Core\Database;","final class QueryBuilder",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\Repository.php","namespace SOLPI\Core\Database;","final class Repository",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\Result.php","namespace SOLPI\Core\Database;","final class Result",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\Transaction.php","namespace SOLPI\Core\Database;","final class Transaction",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\Exceptions\DatabaseException.php","namespace SOLPI\Core\Database\Exceptions;","final class DatabaseException extends RuntimeException",,,,"23","0,42"
"C:\zabbix\glpi\plugins\solpi\src\Core\Database\Exceptions\TransactionException.php","namespace SOLPI\Core\Database\Exceptions;","final class TransactionException extends DatabaseException",,,,"9","0,14"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\HttpClient.php","System.Object[]","System.Object[]",,,,"406","6,22"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\HttpException.php","namespace SOLPI\Core\Http;","class HttpException extends \\Exception",,,,"9","0,11"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\HttpMethod.php","namespace SOLPI\Core\Http;","final class HttpMethod",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\HttpRequest.php","namespace SOLPI\Core\Http;","final class HttpRequest",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\HttpResponse.php","namespace SOLPI\Core\Http;","final class HttpResponse",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\HttpStatus.php","namespace SOLPI\Core\Http;","final class HttpStatus",,,,"18","0,28"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Auth\BasicAuthentication.php","namespace SOLPI\Core\Http\Auth;","final class BasicAuthentication",,,,"38","0,55"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Auth\BearerAuthentication.php","namespace SOLPI\Core\Http\Auth;","final class BearerAuthentication",,,,"31","0,44"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Contracts\MiddlewareInterface.php","namespace SOLPI\Core\Http\Contracts;",,"interface MiddlewareInterface",,,"10","0,17"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Contracts\TransportInterface.php","namespace SOLPI\Core\Http\Contracts;",,"interface TransportInterface",,,"15","0,25"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Exceptions\ConnectionException.php","namespace SOLPI\Core\Http\Exceptions;","class ConnectionException extends \\Exception",,,,"9","0,13"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Exceptions\HttpClientException.php","namespace SOLPI\Core\Http\Exceptions;","class HttpClientException extends \\Exception",,,,"9","0,13"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Exceptions\HttpServerException.php","namespace SOLPI\Core\Http\Exceptions;","class HttpServerException extends \\Exception",,,,"9","0,13"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Exceptions\TimeoutException.php","namespace SOLPI\Core\Http\Exceptions;","class TimeoutException extends \\Exception",,,,"9","0,12"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Middleware\AuthenticationMiddleware.php","namespace SOLPI\Core\Http\Middleware;","final class AuthenticationMiddleware",,,,"18","0,31"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Middleware\LoggerMiddleware.php","namespace SOLPI\Core\Http\Middleware;","final class LoggerMiddleware",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Middleware\MiddlewareInterface.php","namespace SOLPI\Core\Http\Middleware;",,"interface MiddlewareInterface",,,"10","0,17"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Middleware\RetryMiddleware.php","namespace SOLPI\Core\Http\Middleware;","final class RetryMiddleware",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Retry\RetryPolicy.php","namespace SOLPI\Core\Http\Retry;","final class RetryPolicy",,,,"79","1,18"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Transport\CurlRequestBuilder.php","namespace SOLPI\Core\Http\Transport;","final class CurlRequestBuilder",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Transport\CurlResponseParser.php","namespace SOLPI\Core\Http\Transport;","final class CurlResponseParser",,,,"18","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Core\Http\Transport\CurlTransport.php","namespace SOLPI\Core\Http\Transport;","final class CurlTransport",,,,"18","0,29"
"C:\zabbix\glpi\plugins\solpi\src\Core\Logging\FileLogger.php","namespace SOLPI\Core\Logging;","final class FileLogger",,,,"77","1,06"
"C:\zabbix\glpi\plugins\solpi\src\Core\Logging\LogFormatter.php","namespace SOLPI\Core\Logging;","final class LogFormatter",,,,"60","0,95"
"C:\zabbix\glpi\plugins\solpi\src\Core\Logging\Logger.php","namespace SOLPI\Core\Logging;","final class Logger implements LoggerInterface",,,,"94","2,22"
"C:\zabbix\glpi\plugins\solpi\src\Core\Logging\LoggerInterface.php","namespace SOLPI\Core\Logging;",,"interface LoggerInterface",,,"54","1"
"C:\zabbix\glpi\plugins\solpi\src\Core\Logging\LogLevel.php","namespace SOLPI\Core\Logging;","final class LogLevel",,,,"67","0,97"
"C:\zabbix\glpi\plugins\solpi\src\Database\DatabaseManager.php","namespace SOLPI\Database;","final class DatabaseManager",,,,"90","1,44"
"C:\zabbix\glpi\plugins\solpi\src\Database\Installer.php","namespace SOLPI\Database;","final class Installer",,,,"21","0,3"
"C:\zabbix\glpi\plugins\solpi\src\Database\InstallValidator.php","namespace SOLPI\Database;","final class InstallValidator",,,,"44","0,72"
"C:\zabbix\glpi\plugins\solpi\src\Database\Migration.php","namespace SOLPI\Database;","final class Migration",,,,"16","0,17"
"C:\zabbix\glpi\plugins\solpi\src\Database\MigrationManager.php","namespace SOLPI\Database;","final class MigrationManager",,,,"36","0,54"
"C:\zabbix\glpi\plugins\solpi\src\Database\Schema.php","namespace SOLPI\Database;","final class Schema",,,,"70","1,6"
