"FullName","Length","Extension","LastWriteTime"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Cache.php","769",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Collection.php","889",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Config.php","2189",".php","29/06/2026 03:07:18"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Constants.php","202",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Container.php","3763",".php","28/06/2026 05:22:37"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Controller.php","900",".php","27/06/2026 16:26:40"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database.php","1522",".php","28/06/2026 13:41:48"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Date.php","537",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\EntityInterface.php","356",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Environment.php","510",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\EventDispatcher.php","1301",".php","28/06/2026 13:42:09"
"C:\SOLPI\glpi\plugins\solpi\src\Core\ExceptionHandler.php","824",".php","27/06/2026 16:50:38"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Hydrator.php","425",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Json.php","524",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Kernel.php","2769",".php","28/06/2026 05:26:36"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Logger.php","1750",".php","28/06/2026 13:36:38"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Paths.php","468",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Plugin.php","636",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Repository.php","547",".php","27/06/2026 16:27:27"
"C:\SOLPI\glpi\plugins\solpi\src\Core\RepositoryInterface.php","276",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Request.php","709",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Response.php","861",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Router.php","2583",".php","28/06/2026 05:36:28"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Service.php","141",".php","27/06/2026 16:27:04"
"C:\SOLPI\glpi\plugins\solpi\src\Core\ServiceInterface.php","273",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Session.php","934",".php","27/06/2026 16:44:12"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Str.php","1008",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\System.php","578",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Uuid.php","364",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Validator.php","880",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Version.php","330",".php","29/06/2026 12:38:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\Connection.php","292",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\Criteria.php","290",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\DatabaseManager.php","297",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\Pagination.php","292",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\QueryBuilder.php","294",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\Repository.php","292",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\Result.php","288",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\Transaction.php","293",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\Exceptions\DatabaseException.php","428",".php","29/06/2026 00:23:55"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Database\Exceptions\TransactionException.php","146",".php","29/06/2026 00:24:11"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\HttpClient.php","442",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\HttpException.php","609",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\HttpMethod.php","1195",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\HttpRequest.php","2057",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\HttpResponse.php","1248",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\HttpStatus.php","1311",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Auth\BasicAuthentication.php","565",".php","28/06/2026 23:40:25"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Auth\BearerAuthentication.php","450",".php","28/06/2026 23:40:01"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Contracts\MiddlewareInterface.php","173",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Contracts\TransportInterface.php","261",".php","28/06/2026 23:49:11"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Exceptions\ConnectionException.php","130",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Exceptions\HttpClientException.php","130",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Exceptions\HttpServerException.php","130",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Exceptions\TimeoutException.php","127",".php","01/07/2026 13:34:33"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Middleware\AuthenticationMiddleware.php","313",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Middleware\LoggerMiddleware.php","305",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Middleware\MiddlewareInterface.php","174",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Middleware\RetryMiddleware.php","304",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Retry\RetryPolicy.php","1205",".php","28/06/2026 23:39:18"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Transport\CurlRequestBuilder.php","306",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Transport\CurlResponseParser.php","306",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Http\Transport\CurlTransport.php","301",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Logging\FileLogger.php","1084",".php","29/06/2026 00:09:29"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Logging\LogFormatter.php","977",".php","29/06/2026 00:09:09"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Logging\Logger.php","2272",".php","29/06/2026 00:13:07"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Logging\LoggerInterface.php","1021",".php","29/06/2026 00:04:06"
"C:\SOLPI\glpi\plugins\solpi\src\Core\Logging\LogLevel.php","991",".php","29/06/2026 00:04:28"
"C:\SOLPI\glpi\plugins\solpi\src\Database\DatabaseManager.php","1476",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Database\install.sql","28771",".sql","28/06/2026 20:05:50"
"C:\SOLPI\glpi\plugins\solpi\src\Database\Installer.php","1076",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\src\Database\InstallValidator.php","738",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Database\Migration.php","176",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Database\MigrationManager.php","553",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Database\Schema.php","1639",".php","27/06/2026 18:15:13"
"C:\SOLPI\glpi\plugins\solpi\src\Database\SchemaManager.php","1320",".php","30/06/2026 13:40:20"
"C:\SOLPI\glpi\plugins\solpi\src\Database\Seeder.php","570",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Database\Uninstaller.php","581",".php","29/06/2026 12:38:26"
"C:\SOLPI\glpi\plugins\solpi\src\Database\VersionManager.php","444",".php","27/06/2026 18:16:41"
"C:\SOLPI\glpi\plugins\solpi\src\Documents\Entities\Document.php","295",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Documents\Repositories\DocumentRepository.php","309",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Documents\Services\DocumentService.php","302",".php","29/06/2026 12:41:46"
"C:\SOLPI\glpi\plugins\solpi\src\Exceptions\ConfigurationException.php","131",".php","27/06/2026 22:19:32"
"C:\SOLPI\glpi\plugins\solpi\src\Exceptions\IntegrationException.php","129",".php","27/06/2026 22:20:31"
